,Unnamed: 0_src,MSD_src,form_src,eng_gloss_src,gitksan_gloss_src,morph_src,paradigm_i,Unnamed: 0_tgt,MSD_tgt,form_tgt,eng_gloss_tgt,gitksan_gloss_tgt,morph_tgt
43,787,ROOT;TR;3.II,'mootxwit,mob-TR-3.II,'mootxw-TR-3.II,'mootxw-i-t,490,786,ROOT,'mootxw,mob,'mootxw,'mootxw
46,1049,ROOT,Goodain,all.gone-CAUS2,Gooda-in,g̲ooda-in,756,1050,ROOT;1PL.II,Goodini'm,all.gone-CAUS2-1PL.II,Gooda-in-1PL.II,g̲ooda-in-'m
47,1050,ROOT;1PL.II,Goodini'm,all.gone-CAUS2-1PL.II,Gooda-in-1PL.II,g̲ooda-in-'m,756,1049,ROOT,Goodain,all.gone-CAUS2,Gooda-in,g̲ooda-in
50,1230,ROOT,laX'u,on-top,laX-u,lax̲-u,951,1231,ROOT;3.II,laX'ut,on-top-3.II,laX-u-3.II,lax̲-u-t
51,1231,ROOT;3.II,laX'ut,on-top-3.II,laX-u-3.II,lax̲-u-t,951,1230,ROOT,laX'u,on-top,laX-u,lax̲-u
54,758,ROOT,gem,hot,gem,gemk,445,760,ROOT;ATTR,gemgim,hot-ATTR,gemk-ATTR,gemk-m
55,760,ROOT;ATTR,gemgim,hot-ATTR,gemk-ATTR,gemk-m,445,758,ROOT,gem,hot,gem,gemk
58,1133,ROOT;3.II,saGaytGoodat,together-all.gone-3.II,saGayt-Gooda-3.II,sag̲ayt-g̲ooda-t,862,1132,ROOT,saGaytGooda,together-all.gone,saGayt-Gooda,sag̲ayt-g̲ooda
59,1132,ROOT,saGaytGooda,together-all.gone,saGayt-Gooda,sag̲ayt-g̲ooda,862,1133,ROOT;3.II,saGaytGoodat,together-all.gone-3.II,saGayt-Gooda-3.II,sag̲ayt-g̲ooda-t
62,724,ROOT;3PL.II,t'ayksxwdiit,turn/veer-3PL.II,t'ayksxw-3PL.II,t'ayksxw-diit,392,723,ROOT,t'ayksxw,turn/veer,t'ayksxw,t'ayksxw
63,723,ROOT,t'ayksxw,turn/veer,t'ayksxw,t'ayksxw,392,724,ROOT;3PL.II,t'ayksxwdiit,turn/veer-3PL.II,t'ayksxw-3PL.II,t'ayksxw-diit
66,880,ROOT;3.II,yukwt,feast.II-3.II,yukw-3.II,yukw-t,604,879,ROOT,yukw,feast.II,yukw,yukw
67,879,ROOT,yukw,feast.II,yukw,yukw,604,880,ROOT;3.II,yukwt,feast.II-3.II,yukw-3.II,yukw-t
70,5,ROOT;PL,'niiluxw,long.PL,'niiluxw.PL,'niiluxw,3,6,ROOT;SX,'negwit,long-SX,'nekw-SX,'nekw-it
71,5,ROOT;PL,'niiluxw,long.PL,'niiluxw.PL,'niiluxw,3,4,ROOT,'nekw,lon,'nekw,'nekw
72,6,ROOT;SX,'negwit,long-SX,'nekw-SX,'nekw-it,3,5,ROOT;PL,'niiluxw,long.PL,'niiluxw.PL,'niiluxw
74,6,ROOT;SX,'negwit,long-SX,'nekw-SX,'nekw-it,3,4,ROOT,'nekw,lon,'nekw,'nekw
75,4,ROOT,'nekw,lon,'nekw,'nekw,3,5,ROOT;PL,'niiluxw,long.PL,'niiluxw.PL,'niiluxw
76,4,ROOT,'nekw,lon,'nekw,'nekw,3,6,ROOT;SX,'negwit,long-SX,'nekw-SX,'nekw-it
79,287,ROOT;PL,huwilp,PL~house,PL~wilp,CV~wilp,96,286,ROOT,wilp,house,wilp,wilp
80,286,ROOT,wilp,house,wilp,wilp,96,287,ROOT;PL,huwilp,PL~house,PL~wilp,CV~wilp
83,1137,ROOT;3.II,sGat'aat,blocking.way-sit-3.II,sGa-t'aa-3.II,sg̲a-t'aa-t,866,1136,ROOT,sGat'aa,blocking.way-sit,sGa-t'aa,sg̲a-t'aa
84,1136,ROOT,sGat'aa,blocking.way-sit,sGa-t'aa,sg̲a-t'aa,866,1137,ROOT;3.II,sGat'aat,blocking.way-sit-3.II,sGa-t'aa-3.II,sg̲a-t'aa-t
87,249,ROOT;1PL.II,hasaGa'm,desire-1PL.II,hasaK-1PL.II,hasak̲-'m,79,248,ROOT;3.II,hasaKt,desire-3.II,hasaK-3.II,hasak̲-t
88,249,ROOT;1PL.II,hasaGa'm,desire-1PL.II,hasaK-1PL.II,hasak̲-'m,79,247,ROOT;SX,hasaGat,desire-SX,hasaK-SX,hasak̲-it
89,249,ROOT;1PL.II,hasaGa'm,desire-1PL.II,hasaK-1PL.II,hasak̲-'m,79,250,ROOT;2PL.II,hasaKsi'm,desire-2PL.II,hasaK-2PL.II,hasak̲-si'm
90,248,ROOT;3.II,hasaKt,desire-3.II,hasaK-3.II,hasak̲-t,79,249,ROOT;1PL.II,hasaGa'm,desire-1PL.II,hasaK-1PL.II,hasak̲-'m
92,248,ROOT;3.II,hasaKt,desire-3.II,hasaK-3.II,hasak̲-t,79,247,ROOT;SX,hasaGat,desire-SX,hasaK-SX,hasak̲-it
93,248,ROOT;3.II,hasaKt,desire-3.II,hasaK-3.II,hasak̲-t,79,250,ROOT;2PL.II,hasaKsi'm,desire-2PL.II,hasaK-2PL.II,hasak̲-si'm
94,247,ROOT;SX,hasaGat,desire-SX,hasaK-SX,hasak̲-it,79,249,ROOT;1PL.II,hasaGa'm,desire-1PL.II,hasaK-1PL.II,hasak̲-'m
95,247,ROOT;SX,hasaGat,desire-SX,hasaK-SX,hasak̲-it,79,248,ROOT;3.II,hasaKt,desire-3.II,hasaK-3.II,hasak̲-t
97,247,ROOT;SX,hasaGat,desire-SX,hasaK-SX,hasak̲-it,79,250,ROOT;2PL.II,hasaKsi'm,desire-2PL.II,hasaK-2PL.II,hasak̲-si'm
98,250,ROOT;2PL.II,hasaKsi'm,desire-2PL.II,hasaK-2PL.II,hasak̲-si'm,79,249,ROOT;1PL.II,hasaGa'm,desire-1PL.II,hasaK-1PL.II,hasak̲-'m
99,250,ROOT;2PL.II,hasaKsi'm,desire-2PL.II,hasaK-2PL.II,hasak̲-si'm,79,248,ROOT;3.II,hasaKt,desire-3.II,hasaK-3.II,hasak̲-t
100,250,ROOT;2PL.II,hasaKsi'm,desire-2PL.II,hasaK-2PL.II,hasak̲-si'm,79,247,ROOT;SX,hasaGat,desire-SX,hasaK-SX,hasak̲-it
103,341,ROOT,t'e,forget,t'e,t'ek,132,342,ROOT;3.II,t'ekt,forget-3.II,t'ek-3.II,t'ek-t
104,341,ROOT,t'e,forget,t'e,t'ek,132,344,ROOT;TR;1SG.II,t'agi'y,forget-TR-1SG.II,t'ek-TR-1SG.II,t'ak-i-'y
105,342,ROOT;3.II,t'ekt,forget-3.II,t'ek-3.II,t'ek-t,132,341,ROOT,t'e,forget,t'e,t'ek
107,342,ROOT;3.II,t'ekt,forget-3.II,t'ek-3.II,t'ek-t,132,344,ROOT;TR;1SG.II,t'agi'y,forget-TR-1SG.II,t'ek-TR-1SG.II,t'ak-i-'y
108,344,ROOT;TR;1SG.II,t'agi'y,forget-TR-1SG.II,t'ek-TR-1SG.II,t'ak-i-'y,132,341,ROOT,t'e,forget,t'e,t'ek
109,344,ROOT;TR;1SG.II,t'agi'y,forget-TR-1SG.II,t'ek-TR-1SG.II,t'ak-i-'y,132,342,ROOT;3.II,t'ekt,forget-3.II,t'ek-3.II,t'ek-t
112,738,ROOT;3.II,tK'am'ut,body-3.II,tK'am'u-3.II,tk̲'am'u-t,415,737,ROOT,tK'am'u,body,tK'am'u,tk̲'am'u
113,737,ROOT,tK'am'u,body,tK'am'u,tk̲'am'u,415,738,ROOT;3.II,tK'am'ut,body-3.II,tK'am'u-3.II,tk̲'am'u-t
116,495,ROOT,xsaxw,go.out,xsaxw,xsaxw,206,498,ROOT;1SG.II,xsawi'y,go.out-1SG.II,xsaxw-1SG.II,xsaxw-'y
117,495,ROOT,xsaxw,go.out,xsaxw,xsaxw,206,497,ROOT;3.II,xsaxwt,go.out-3.II,xsaxw-3.II,xsaxw-t
118,498,ROOT;1SG.II,xsawi'y,go.out-1SG.II,xsaxw-1SG.II,xsaxw-'y,206,495,ROOT,xsaxw,go.out,xsaxw,xsaxw
120,498,ROOT;1SG.II,xsawi'y,go.out-1SG.II,xsaxw-1SG.II,xsaxw-'y,206,497,ROOT;3.II,xsaxwt,go.out-3.II,xsaxw-3.II,xsaxw-t
121,497,ROOT;3.II,xsaxwt,go.out-3.II,xsaxw-3.II,xsaxw-t,206,495,ROOT,xsaxw,go.out,xsaxw,xsaxw
122,497,ROOT;3.II,xsaxwt,go.out-3.II,xsaxw-3.II,xsaxw-t,206,498,ROOT;1SG.II,xsawi'y,go.out-1SG.II,xsaxw-1SG.II,xsaxw-'y
125,352,ROOT;3PL.II,maKdiit,put-3PL.II,maK-3PL.II,mak̲-diit,135,349,ROOT,maK,put,maK,mak̲
126,352,ROOT;3PL.II,maKdiit,put-3PL.II,maK-3PL.II,mak̲-diit,135,351,ROOT;3.II,maKt,put-3.II,maK-3.II,mak̲-t
127,349,ROOT,maK,put,maK,mak̲,135,352,ROOT;3PL.II,maKdiit,put-3PL.II,maK-3PL.II,mak̲-diit
129,349,ROOT,maK,put,maK,mak̲,135,351,ROOT;3.II,maKt,put-3.II,maK-3.II,mak̲-t
130,351,ROOT;3.II,maKt,put-3.II,maK-3.II,mak̲-t,135,352,ROOT;3PL.II,maKdiit,put-3PL.II,maK-3PL.II,mak̲-diit
131,351,ROOT;3.II,maKt,put-3.II,maK-3.II,mak̲-t,135,349,ROOT,maK,put,maK,mak̲
134,1023,ROOT,iksdein,tasty-CAUS2,iksde-in,iksde-in,741,1024,ROOT;3.II,iksdedint,tasty-CAUS2-3.II,iksde-in-3.II,iksde-in-t
135,1024,ROOT;3.II,iksdedint,tasty-CAUS2-3.II,iksde-in-3.II,iksde-in-t,741,1023,ROOT,iksdein,tasty-CAUS2,iksde-in,iksde-in
138,18,ROOT;PL,dexw,die.PL,dexw.PL,dexw,5,21,ROOT;PL;SX,dexwit,die.PL-SX,dexw.PL-SX,dexw-it
139,18,ROOT;PL,dexw,die.PL,dexw.PL,dexw,5,24,ROOT;PL;3PL.II,dexwdiit,die.PL-3PL.II,dexw.PL-3PL.II,dexw-diit
140,21,ROOT;PL;SX,dexwit,die.PL-SX,dexw.PL-SX,dexw-it,5,18,ROOT;PL,dexw,die.PL,dexw.PL,dexw
142,21,ROOT;PL;SX,dexwit,die.PL-SX,dexw.PL-SX,dexw-it,5,24,ROOT;PL;3PL.II,dexwdiit,die.PL-3PL.II,dexw.PL-3PL.II,dexw-diit
143,24,ROOT;PL;3PL.II,dexwdiit,die.PL-3PL.II,dexw.PL-3PL.II,dexw-diit,5,18,ROOT;PL,dexw,die.PL,dexw.PL,dexw
144,24,ROOT;PL;3PL.II,dexwdiit,die.PL-3PL.II,dexw.PL-3PL.II,dexw-diit,5,21,ROOT;PL;SX,dexwit,die.PL-SX,dexw.PL-SX,dexw-it
147,596,ROOT,guxw,shoot,guxw,guxw,285,597,ROOT;3.II,guxwt,shoot-3.II,guxw-3.II,guxw-t
148,597,ROOT;3.II,guxwt,shoot-3.II,guxw-3.II,guxw-t,285,596,ROOT,guxw,shoot,guxw,guxw
151,198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t,59,197,ROOT,jep,make,jep,jep
152,198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t,59,202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit
153,198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t,59,199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit
154,198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t,59,203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm
155,197,ROOT,jep,make,jep,jep,59,198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t
157,197,ROOT,jep,make,jep,jep,59,202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit
158,197,ROOT,jep,make,jep,jep,59,199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit
159,197,ROOT,jep,make,jep,jep,59,203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm
160,202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit,59,198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t
161,202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit,59,197,ROOT,jep,make,jep,jep
163,202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit,59,199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit
164,202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit,59,203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm
165,199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit,59,198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t
166,199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit,59,197,ROOT,jep,make,jep,jep
167,199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit,59,202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit
169,199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit,59,203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm
170,203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm,59,198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t
171,203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm,59,197,ROOT,jep,make,jep,jep
172,203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm,59,202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit
173,203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm,59,199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit
176,34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m,9,37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t
177,34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m,9,38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y
178,34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m,9,36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m
179,34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m,9,32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw
180,37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t,9,34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m
182,37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t,9,38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y
183,37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t,9,36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m
184,37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t,9,32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw
185,38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y,9,34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m
186,38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y,9,37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t
188,38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y,9,36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m
189,38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y,9,32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw
190,36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m,9,34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m
191,36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m,9,37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t
192,36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m,9,38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y
194,36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m,9,32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw
195,32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw,9,34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m
196,32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw,9,37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t
197,32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw,9,38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y
198,32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw,9,36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m
201,45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t,11,49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t
202,45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t,11,47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit
203,45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t,11,48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y
204,45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t,11,44,ROOT;SX,wat,name-SX,we-SX,wa-it
205,49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t,11,45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t
207,49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t,11,47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit
208,49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t,11,48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y
209,49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t,11,44,ROOT;SX,wat,name-SX,we-SX,wa-it
210,47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit,11,45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t
211,47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit,11,49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t
213,47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit,11,48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y
214,47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit,11,44,ROOT;SX,wat,name-SX,we-SX,wa-it
215,48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y,11,45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t
216,48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y,11,49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t
217,48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y,11,47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit
219,48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y,11,44,ROOT;SX,wat,name-SX,we-SX,wa-it
220,44,ROOT;SX,wat,name-SX,we-SX,wa-it,11,45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t
221,44,ROOT;SX,wat,name-SX,we-SX,wa-it,11,49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t
222,44,ROOT;SX,wat,name-SX,we-SX,wa-it,11,47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit
223,44,ROOT;SX,wat,name-SX,we-SX,wa-it,11,48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y
226,806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit,526,808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y
227,806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit,526,804,ROOT,gup,eat.I,gup,gup
228,806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit,526,805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t
229,806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit,526,809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m
230,808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y,526,806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit
232,808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y,526,804,ROOT,gup,eat.I,gup,gup
233,808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y,526,805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t
234,808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y,526,809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m
