,MSD,form,eng_gloss,gitksan_gloss,morph,paradigm_i
24,ROOT;PL;3PL.II,dexwdiit,die.PL-3PL.II,dexw.PL-3PL.II,dexw-diit,5
596,ROOT,guxw,shoot,guxw,guxw,285
597,ROOT;3.II,guxwt,shoot-3.II,guxw-3.II,guxw-t,285
198,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t,59
197,ROOT,jep,make,jep,jep,59
202,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit,59
199,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit,59
203,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm,59
34,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m,9
37,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t,9
38,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y,9
36,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m,9
32,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw,9
45,ROOT;3.II,wat,name-3.II,we-3.II,wa-t,11
49,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t,11
47,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit,11
48,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y,11
44,ROOT;SX,wat,name-SX,we-SX,wa-it,11
806,ROOT;3PL.II,gupdiit,eat.I-3PL.II,gup-3PL.II,gup-diit,526
808,ROOT;TR;1SG.II,gubi'y,eat.I-TR-1SG.II,gup-TR-1SG.II,gup-i-'y,526
804,ROOT,gup,eat.I,gup,gup,526
805,ROOT;3.II,gupt,eat.I-3.II,gup-3.II,gup-t,526
809,ROOT;TR;1PL.II,gubi'm,eat.I-TR-1PL.II,gup-TR-1PL.II,gup-i-'m,526
393,ROOT,gyoo,doc,gyoo,gyoo,158
394,ROOT;3.II,gyoot,dock-3.II,gyoo-3.II,gyoo-t,158
618,ROOT;3PL.II,sdo'oksdiit,beside-3PL.II,sdo'oks-3PL.II,sdo'oks-diit,300
617,ROOT,sdo'oks,beside,sdo'oks,sdo'oks,300
1254,ROOT;3PL.II,luuyuxwdiit,in.I-follow-3PL.II,luu-yuxw-3PL.II,luu-yuxw-diit,990
1253,ROOT,luuyuxw,in.I-follow,luu-yuxw,luu-yuxw,990
427,ROOT;PL;3PL.II,loodiit,move.in.water.PL-3PL.II,loo.PL-3PL.II,loo-diit,168
423,ROOT,gyoo,move.in.water,gyoo,gyoo,168
424,ROOT;PL,loo,move.in.water.PL,loo.PL,loo,168
426,ROOT;PL;3.II,loot,move.in.water.PL-3.II,loo.PL-3.II,loo-t,168
357,ROOT;PL;1PL.II,mas'usi'm,play.PL-1PL.II,mihas'us.PL-1PL.II,mihas'us-'m,136
354,ROOT,ma'us,play,ma'us,ma'us,136
358,ROOT;PL;2SG.II,mihas'usin,play.PL-2SG.II,mihas'us.PL-2SG.II,mihas'us-n,136
371,ROOT,nibip,uncle,nibip,nibip,145
373,ROOT;1SG.II,nibibi'y,uncle-1SG.II,nibip-1SG.II,nibip-'y,145
876,ROOT;3PL.II,da'aKhlxwdiit,able.I-3PL.II,da'aKhlxw-3PL.II,da'ak̲hlxw-diit,602
875,ROOT,da'aKhlxw,able.I,da'aKhlxw,da'ak̲hlxw,602
1070,ROOT,sisgi,CAUS1-lie.on,si-sgi,si-sgi,775
1071,ROOT;3.II,sisgit,CAUS1-lie.on-3.II,si-sgi-3.II,si-sgi-t,775
712,ROOT;3PL.II,'windiit,tooth-3PL.II,'win-3PL.II,'win-diit,375
711,ROOT;3.II,'wint,tooth-3.II,'win-3.II,'win-t,375
897,ROOT,hligu,relative.I,hligwi,hligu,635
898,ROOT;1PL.II,hligu'm,relative.I-1PL.II,hligwi-1PL.II,hligu-'m,635
14,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit,4
15,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n,4
9,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it,4
13,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm,4
11,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t,4
697,ROOT;ATTR,daGo'odim,elderly-ATTR,daGo'ot-ATTR,dag̲o'ot-m,361
696,ROOT,daGo'ot,elderly,daGo'ot,dag̲o'ot,361
726,ROOT;3.II,'weesxwt,bountiful-3.II,'weesxw-3.II,'weesxw-t,393
725,ROOT,'weesxw,bountiful,'weesxw,'weesxw,393
899,ROOT,a'laX,angry.I,a'laX,a'lax̲,638
902,ROOT;3PL.II,a'laXdiit,angry.I-3PL.II,a'laX-3PL.II,a'lax̲-diit,638
901,ROOT;1PL.II,a'laXa'm,angry.I-1PL.II,a'laX-1PL.II,a'lax̲-'m,638
472,ROOT;1PL.II,k'i'lixsi'm,alone-1PL.II,k'i'lixs-1PL.II,k'i'lixs-'m,186
471,ROOT,k'i'lixs,alone,k'i'lixs,k'i'lixs,186
1077,ROOT,'wits'in,mash-CAUS2,'wits'-in,'wits'-in,779
1078,ROOT;3PL.II,'wits'indiit,mash-CAUS2-3PL.II,'wits'-in-3PL.II,'wits'-in-diit,779
474,ROOT;3.II,umKxwt,dislike-3.II,umKxw-3.II,umk̲xw-t,188
473,ROOT,umKxw,dislike,umKxw,umk̲xw,188
744,ROOT;3.II,Gost,jump-3.II,Gos-3.II,g̲os-t,429
743,ROOT,Gos,jump,Gos,g̲os,429
525,ROOT;1SG.II,mail'y,mail-1SG.II,mail-1SG.II,mail-'y,221
524,ROOT,mail,mail,mail,mail,221
153,ROOT;3PL.II,liseexwdiit,discuss-3PL.II,liseexw-3PL.II,liseexw-diit,44
152,ROOT,liseexw,discuss,liseexw,liseexw,44
860,ROOT;3.II,gwilat,blanket.I-3.II,gwila-3.II,gwila-t,577
861,ROOT;1PL.II,gwila'm,blanket.I-1PL.II,gwila-1PL.II,gwila-'m,577
862,ROOT;3PL.II,gwiladiit,blanket.I-3PL.II,gwila-3PL.II,gwila-diit,577
863,ROOT;2SG.II,gwilan,blanket.I-2SG.II,gwila-2SG.II,gwila-n,577
220,ROOT,hlis,finish,hlis,hlis,68
221,ROOT;3.II,hlist,finish-3.II,hlis-3.II,hlis-t,68
1082,ROOT;3.II,guksint,soak-CAUS2-3.II,guks-in-3.II,guks-in-t,783
1081,ROOT,guksin,soak-CAUS2,guks-in,guks-in,783
454,ROOT,helt,much,hilt,helt,180
455,ROOT;ATTR,heldim,much-ATTR,hilt-ATTR,helt-m,180
1267,ROOT;1SG.II,Galts'ebi'y,container.I-village.people-1SG.II,Gal-ts'ep-1SG.II,g̲al-ts'ep-'y,1011
1263,ROOT,Galts'ep,container.I-village.people,Gal-ts'ep,g̲al-ts'ep,1011
1266,ROOT;3PL.II,Galts'epdiit,container.I-village.people-3PL.II,Gal-ts'ep-3PL.II,g̲al-ts'ep-diit,1011
1120,ROOT;1SG.II,ha'niiGoodi'y,INS-on.II-heart-1SG.II,ha-'nii-Goot-1SG.II,ha-'nii-g̲oot-'y,834
1119,ROOT;3PL.II,ha'niiGootdiit,INS-on.II-heart-3PL.II,ha-'nii-Goot-3PL.II,ha-'nii-g̲oot-diit,834
242,ROOT;PL;3.II,doKt,take.PL-3.II,doK.PL-3.II,dok̲-t,76
243,ROOT;PL;3PL.II,doKdiit,take.PL-3PL.II,doK.PL-3PL.II,dok̲-diit,76
244,ROOT;PL;TR;3.II,doGot,take.PL-TR-3.II,doK.PL-TR-3.II,dok̲-i-t,76
239,ROOT,guu,take,guu,guu,76
1259,ROOT,luuhitxwGoot,in.I-cry.out-heart,luu-hitxw-Goot,luu-hitxw-g̲oot,1001
1260,ROOT;3PL.II,luuhitxwGootdiit,in.I-cry.out-heart-3PL.II,luu-hitxw-Goot-3PL.II,luu-hitxw-g̲oot-diit,1001
1166,ROOT;3.II,sGa'wat,blocking.way-find-3.II,sGa-'wa-3.II,sg̲a-'wa-t,891
1165,ROOT,sGa'wa,blocking.way-find,sGa-'wa,sg̲a-'wa,891
942,ROOT,anooK,like,anooK,anook̲,678
943,ROOT;3.II,anooKt,like-3.II,anooK-3.II,anook̲-t,678
1170,ROOT,xsa'aKxw,out-attain,xsa-'aKxw,xsa-'ak̲xw,899
1171,ROOT;1SG.II,xsa'aKxwi'y,out-attain-1SG.II,xsa-'aKxw-1SG.II,xsa-'ak̲xw-'y,899
429,ROOT;SX,gilbilt,two-SX,gilbil-SX,gilbil-it,169
428,ROOT,gilbil,two,gilbil,gilbil,169
1103,ROOT,hlenin,move.I-CAUS2,hlen-in,hlen-in,809
1104,ROOT;3PL.II,hlendindiit,move.I-CAUS2-3PL.II,hlen-in-3PL.II,hlen-in-diit,809
632,ROOT;3.II,t'aahlt,pick.berries-3.II,t'aahl-3.II,t'aahl-t,308
631,ROOT,t'aahl,pick.berries,t'aahl,t'aahl,308
502,ROOT;PL;1PL.II,woowaXa'm,sleep.PL-1PL.II,woowaX.PL-1PL.II,woowax̲-'m,207
501,ROOT;3.II,woKt,sleep-3.II,woK-3.II,wok̲-t,207
322,ROOT;3.II,sgett,be.born-3.II,sget-3.II,sget-t,113
321,ROOT,sget,be.born,sget,sget,113
162,ROOT,kwsdins,five,kwsdins,kwsdins,48
163,ROOT;SX,kwsdinsit,five-SX,kwsdins-SX,kwsdins-it,48
768,ROOT;3PL.II,depdiit,measure-3PL.II,dep-3PL.II,dep-diit,454
767,ROOT,dep,measure,dep,dep,454
112,ROOT,Xde,be.hungry,Xde,x̲dex,30
114,ROOT;1PL.II,Xdeyi'm,be.hungry-1PL.II,Xdex-1PL.II,x̲dex-'m,30
115,PL;ROOT;3PL.II,luxdaxdiit,PL-be.hungry-3PL.II,PL-Xdex-3PL.II,li-xwdax-diit,30
1021,ROOT,kw'ootin,lost-CAUS2,kw'oot-in,kw'oot-in,739
1022,ROOT;TR;1PL.II,kw'oodini'm,lost-CAUS2-TR-1PL.II,kw'oot-in-TR-1PL.II,kw'oot-in-i-'m??=?,739
521,ROOT;3PL.II,sdildiit,accompany-3PL.II,sdil-3PL.II,sdil-diit,216
519,ROOT;3.II,sdilt,accompany-3.II,sdil-3.II,sdil-t,216
518,ROOT,sdil,accompany,sdil,sdil,216
1130,ROOT;3PL,saGaytGootda,together-heart-3PL,saGayt-Goot-3PL,sag̲ayt-g̲oot-da,860
1129,ROOT,saGaytGoot,together-heart,saGayt-Goot,sag̲ayt-g̲oot,860
1211,ROOT;3PL.II,t'ilXo'odiit,overseer.of-mind-3PL.II,t'il-Xoo-3PL.II,t'il-x̲oo-diit,933
1210,ROOT,t'ilXoo,overseer.of-mind,t'il-Xoo,t'il-x̲oo,933
651,ROOT;3.II,tK'esxwt,charge-3.II,tK'esxw-3.II,tk̲'esxw-t,324
652,ROOT;TR;3.II,tK'esxwit,charge-TR-3.II,tK'esxw-TR-3.II,tk̲'esxw-i-t,324
649,ROOT,tK'esxw,charge,tK'esxw,tk̲'esxw,324
224,ROOT;3PL.II,yukwdiit,busy-3PL.II,yukw-3PL.II,yukw-diit,69
223,ROOT;3.II,yukwt,busy-3.II,yukw-3.II,yukw-t,69
461,ROOT;ATTR,'maXsim,pants-ATTR,'maXs-ATTR,'max̲s-m,183
462,ROOT;3.II,'maXst,pants-3.II,'maXs-3.II,'max̲s-t,183
569,ROOT,ubin,pregnant,ubin,ubin,271
570,ROOT;3.II,ubint,pregnant-3.II,ubin-3.II,ubin-t,271
1197,ROOT;1PL.II,daXgedi'm,firm-character-1PL.II,daX-get-1PL.II,dax̲-get-'m,919
1195,ROOT;ATTR,daXgadim,firm-character-ATTR,daX-get-ATTR,dax̲-gat-m,919
1194,ROOT,daXgat,firm-character,daX-get,dax̲-gat,919
950,ROOT,tK'a,skin,tK'a,tk̲'a,689
951,ROOT;3.II,tK'at,skin-3.II,tK'a-3.II,tk̲'a-t,689
664,ROOT;3.II,jayeehlt,trap-3.II,jayeehl-3.II,jayeehl-t,335
663,ROOT,jayeehl,trap,jayeehl,jayeehl,335
176,ROOT;3.II,giihlt,lie.down-3.II,giihl-3.II,giihl-t,54
178,ROOT;PL;1PL.II,laahli'm,lie.down.PL-1PL.II,laahl.PL-1PL.II,laahl-'m,54
541,ROOT;3.II,Getxwt,difficult-3.II,Getxw-3.II,g̲etxw-t,238
540,ROOT,Getxw,difficult,Getxw,g̲etxw,238
1216,ROOT;3.II,hanwilaakwt,bad-do.something.to-3.II,han-wilaakw-3.II,han-wilaakw-t,939
1215,ROOT,hanwilaakw,bad-do.something.to,han-wilaakw,han-wilaakw,939
1169,ROOT;3PL.II,ksimaasdiit,out-bark-3PL.II,ksi-maas-3PL.II,ksi-maas-diit,897
1168,ROOT,ksimaas,out-bar,ksi-maas,ksi-maas,897
983,ROOT;3PL.II,hedindiit,stand-CAUS2-3PL.II,hit-in-3PL.II,het-in-diit,707
985,ROOT;PL;3PL.II,lidindiit,stand.PL-CAUS2-3PL.II,_,lit-in-diit,707
790,ROOT,t'ipXoo'lt,seven,t'ipXoo'lt,t'ipx̲oo'lt,499
791,ROOT;SX,t'ipXoo'ldit,seven-SX,t'ipXoo'lt-SX,t'ipx̲oo'lt-it,499
516,ROOT;3PL.II,hahle'lsdiit,work-3PL.II,hahle'lst-3PL.II,hahle'ls-diit,215
517,ROOT;1SG.II,hahla'lsdi'y,work-1SG.II,hahle'lst-1SG.II,hahla'lst-'y,215
515,ROOT;1PL.II,hahla'lsdi'm,work-1PL.II,hahle'lst-1PL.II,hahla'lst-'m,215
513,ROOT;SX,hahle'lsit,work-SX,hahle'lst-SX,hahle'ls-it,215
384,ROOT,ts'in,enter,ts'in,ts'in,153
386,ROOT;1SG.II,ts'ini'y,enter-1SG.II,ts'in-1SG.II,ts'in-'y,153
610,ROOT,gimxdi,opp.gender.siblin,gimxdi,gimxdi,295
611,ROOT;3.II,gimxdit,opp.gender.sibling-3.II,gimxdi-3.II,gimxdi-t,295
908,ROOT,laK,fall.II,laK,lak̲,641
909,ROOT;PL,laXlaK,PL~fall.II,PL~laK,CVC~lak̲,641
797,ROOT;PL;SX,hal'olaXat,PL~fast.pace-SX,PL~olaX-SX,CVC~olax̲-it,510
796,ROOT,olaX,fast.pace,olaX,olax̲,510
533,ROOT;1SG.II,office'y,office-1SG.II,office-1SG.II,office-'y,228
532,ROOT,office,office,office,office,228
1153,ROOT,ame,used.for-say,am-he,am-he,886
1154,ROOT;3.II,amet,used.for-say-3.II,am-he-3.II,am-he-t,886
431,ROOT;3PL.II,halaakwdiit,do.something.to-3PL.II,halaakw-3PL.II,halaakw-diit,170
430,ROOT,halaakw,do.something.to,halaakw,halaakw,170
1227,ROOT;3.II,luutK'alno'ot,in-against-hole-3.II,luu-tK'al-no'o-3.II,luu-tk̲'al-no'o-t,947
1226,ROOT,luutK'alno'o,in-against-hole,luu-tK'al-no'o,luu-tk̲'al-no'o,947
468,ROOT,gwila,blanket,gwila,gwila,185
470,ROOT;PL;3PL.II,gwiiladiit,blanket.PL-3PL.II,_,gwiila-diit,185
1213,ROOT,hasbagyoo,upside.down-doc,hasba-gyoo,hasba-gyoo,934
1214,ROOT;3.II,hasbagyoot,upside.down-dock-3.II,hasba-gyoo-3.II,hasba-gyoo-t,934
823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m,554
816,ROOT,ga'a,see.I,ga'a,ga'a,554
818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m,554
822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y,554
820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y,554
821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t,554
838,ROOT,laX'ni,hear.II,laX'ni,lax̲'ni,566
839,ROOT;3PL.II,laX'nidiit,hear.II-3PL.II,laX'ni-3PL.II,lax̲'ni-diit,566
704,ROOT;PL;3PL.II,al'alGaldiit,PL~watch-3PL.II,PL~'alGal-3PL.II,[']al~'alg̲al-diit,366
701,ROOT,alGal,watch,'alGal,alg̲al,366
476,ROOT;3.II,jat,eat.up-3.II,jehl-3.II,jahl-t,189
478,ROOT;PL;TR;3.II,jisjahlit,PL~eat.up-TR-3.II,PL~jehl-TR-3.II,CVC~jahl-i-t,189
477,ROOT;TR;3.II,jehlit,eat.up-TR-3.II,jehl-TR-3.II,jehl-i-t,189
1289,ROOT;1SG.II,xsa'aKxwi'y,out-attain.II-1SG.II,xsa-'aKxw-1SG.II,xsa-'ak̲xw-'y,1036
1288,ROOT,xsa'aKxw,out-attain.II,xsa-'aKxw,xsa-'ak̲xw,1036
563,ROOT,iksde,tasty,iksde,iksde,266
564,ROOT;3.II,iksdet,tasty-3.II,iksde-3.II,iksde-t,266
154,ROOT,ky'ul,one.HUM,ky'ul,ky'ul,46
157,ROOT;3PL.II,ky'uldiit,one.HUM-3PL.II,ky'ul-3PL.II,ky'ul-diit,46
156,ROOT;3.II,ky'ult,one.HUM-3.II,ky'ul-3.II,ky'ul-t,46
128,ROOT;PL,doX,lie.on.PL,doX.PL,dox̲,38
133,ROOT;PL;3.II,doXt,lie.on.PL-3.II,doX.PL-3.II,dox̲-t,38
132,ROOT;3PL.II,sgidiit,lie.on-3PL.II,sgi-3PL.II,sgi-diit,38
923,ROOT,waatxw,cry,waatxw,waatxw,660
924,ROOT;3.II,waatxwt,cry-3.II,waatxw-3.II,waatxw-t,660
892,ROOT,aKhlxw,attain.I,aKhlxw,ak̲hlxw,624
893,ROOT;3.II,aKhlxwt,attain.I-3.II,aKhlxw-3.II,ak̲hlxw-t,624
994,ROOT;ATTR,andabim,NMLZ-measure-ATTR,an-dep-ATTR,an-dap-m,718
993,ROOT,andap,NMLZ-measure,an-dep,an-dap,718
803,ROOT;3.II,gutXa'oot,cross.cousin-3.II,gutXa'oo-3.II,gutx̲a'oo-t,518
802,ROOT,gutXa'oo,cross.cousin,gutXa'oo,gutx̲a'oo,518
722,PL;ROOT,la'oo'y,PL-ancient,PL-oo'y,li-oo'y,387
721,ROOT,oo'y,ancient,oo'y,oo'y,387
78,ROOT;ATTR,t'isim,large-ATTR,t'is-ATTR,t'is-m,22
77,ROOT;SX,t'isit,large-SX,t'is-SX,t'is-it,22
594,ROOT;3PL.II,gidaXdiit,ask-3PL.II,gidaX-3PL.II,gidax̲-diit,284
595,ROOT;TR;3.II,gidaXat,ask-TR-3.II,gidaX-TR-3.II,gidax̲-i-t,284
949,ROOT;3.II,hapt,cover-3.II,hap-3.II,hap-t,684
948,ROOT,hap,cover,hap,hap,684
1004,ROOT;PL;3PL.II,dibakwdiit,COM-arrive.PL-3PL.II,di-bekw.PL-3PL.II,di-bakw-diit,724
1005,ROOT;PL;TR;3.II,dibegwit,COM-arrive.PL-TR-3.II,di-bekw.PL-TR-3.II,di-bekw-i-t,724
1001,ROOT;3PL.II,di'witxwdiit,COM-arrive-3PL.II,di-kw'itxw-3PL.II,di-'witxw-diit,724
1002,ROOT;TR;3.II,da'witxwit,COM-arrive-TR-3.II,di-kw'itxw-TR-3.II,di-'witxw-i-t,724
999,ROOT,di'witxw,COM-arrive,di-kw'itxw,di-'witxw,724
325,ROOT,mesxw,red,mesxw,mesxw,117
328,ROOT;3.II,masxwt,red-3.II,mesxw-3.II,masxw-t,117
930,ROOT;3.II,naX'nit,hear-3.II,naX'ni-3.II,nax̲'ni-t,664
929,ROOT,naX'ni,hear,naX'ni,nax̲'ni,664
887,ROOT;TR;1PL.II,Gosi'm,unable.I-TR-1PL.II,Gos-TR-1PL.II,g̲os-i-'m,619
885,ROOT,Gos,unable.I,Gos,g̲os,619
214,ROOT;TR;3.II,'wayit,find-TR-3.II,'wa-TR-3.II,'wa-i-t,63
211,ROOT,'wa,find,'wa,'wa,63
213,ROOT;3PL.II,'wadiit,find-3PL.II,'wa-3PL.II,'wa-diit,63
215,ROOT;TR;1PL.II,'wayi'm,find-TR-1PL.II,'wa-TR-1PL.II,'wa-i-'m,63
944,ROOT,haky'o'o,bac,haky'o'o,haky'o'o,682
945,ROOT;3.II,haky'o'ot,back-3.II,haky'o'o-3.II,haky'o'o-t,682
229,ROOT;1PL.II,hlimoo'm,help-1PL.II,hlimoo-1PL.II,hlimoo-'m,72
228,ROOT;3.II,hlimoot,help-3.II,hlimoo-3.II,hlimoo-t,72
231,ROOT;TR;1PL.II,hlimooyi'm,help-TR-1PL.II,hlimoo-TR-1PL.II,hlimoo-i-'m,72
1067,ROOT;3PL.II,dit'e'ldiit,COM-hurry-3PL.II,di-t'e'l-3PL.II,di-t'e'l-diit,773
1066,ROOT,dit'e'l,COM-hurry,di-t'e'l,di-t'e'l,773
582,ROOT;ATTR,bitxum,divorce-ATTR,bitxw-ATTR,bitxw-m,277
580,ROOT,bitxw,divorce,bitxw,bitxw,277
170,ROOT;PL;SX,hlo'ot,go.PL-SX,hlo'o.PL-SX,hlo'o-it,52
173,ROOT;PL;3PL.II,hlo'odiit,go.PL-3PL.II,hlo'o.PL-3PL.II,hlo'o-diit,52
168,ROOT;PL,hlo'o,go.PL,hlo'o.PL,hlo'o,52
172,ROOT;PL;1PL.II,hlo'o'm,go.PL-1PL.II,hlo'o.PL-1PL.II,hlo'o-'m,52
169,ROOT;3.II,yeet,go-3.II,yee-3.II,yee-t,52
167,ROOT,yee,go,yee,yee,52
1189,ROOT;3.II,xhliiguut,all.over-take-3.II,xhlii-guu-3.II,xhlii-guu-t,916
1188,ROOT,xhliiguu,all.over-take,xhlii-guu,xhlii-guu,916
399,ROOT;ATTR,gehlim,carve-ATTR,gehl-ATTR,gehl-m,160
398,ROOT,gehl,carve,gehl,gehl,160
440,ROOT;3PL.II,ha'wdiit,go.home-3PL.II,ha'w-3PL.II,ha'w-diit,172
441,ROOT;1SG.II,ha'wi'y,go.home-1SG.II,ha'w-1SG.II,ha'w-'y,172
439,ROOT;1PL.II,ha'wi'm,go.home-1PL.II,ha'w-1PL.II,ha'w-'m,172
437,ROOT,ha'w,go.home,ha'w,ha'w,172
1092,ROOT;3.II,midint,be.full.I-CAUS2-3.II,mit-in-3.II,mit-in-t,798
1091,ROOT,mitin,be.full.I-CAUS2,mit-in,mit-in,798
692,ROOT;SX,t'ipXaadit,two.ANML-SX,t'ipXaat-SX,t'ipx̲aat-it,359
691,ROOT,t'ipXaat,two.ANML,t'ipXaat,t'ipx̲aat,359
753,ROOT;3.II,Goyp'aXt,bright-3.II,Goyp'aX-3.II,g̲oyp'ax̲-t,441
752,ROOT,Goyp'aX,bright,Goyp'aX,g̲oyp'ax̲,441
1096,ROOT;3PL.II,diyeediit,COM-go.I-3PL.II,di-yee-3PL.II,di-yee-diit,799
1095,ROOT;3.II,diyeet,COM-go.I-3.II,di-yee-3.II,di-yee-t,799
